v1,v2
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt > CSH11 and send to 87575. Cost 150p/day 6days. 16+ TsandCs apply Reply STOP to 87575"
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here >> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
